# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
1.430,0.2,0.2088993332,0.8866452459
1.440,0.2,0.2068566195,0.8875930468
1.450,0.2,0.2048335209,0.8885298030
1.460,0.2,0.2028298562,0.8894556564
1.470,0.2,0.2008454459,0.8903707468
1.480,0.2,0.1988801119,0.8912752120
1.490,0.2,0.1969336777,0.8921691878
1.500,0.2,0.1950059682,0.8930528080
1.510,0.2,0.1930968097,0.8939262047
1.520,0.2,0.1912060302,0.8947895079
1.530,0.2,0.1893334591,0.8956428459
1.540,0.2,0.1874789270,0.8964863449
1.550,0.2,0.1856422664,0.8973201296
1.560,0.2,0.1838233108,0.8981443229
1.570,0.2,0.1820218955,0.8989590458
1.580,0.2,0.1802378568,0.8997644176
1.590,0.2,0.1784710329,0.9005605561
1.600,0.2,0.1767212630,0.9013475773
1.610,0.2,0.1749883878,0.9021255956
1.620,0.2,0.1732722494,0.9028947237
1.630,0.2,0.1715726914,0.9036550729
1.640,0.2,0.1698895586,0.9044067529
1.650,0.2,0.1682226971,0.9051498716
1.660,0.2,0.1665719545,0.9058845358
1.670,0.2,0.1649371796,0.9066108506
1.680,0.2,0.1633182226,0.9073289196
1.690,0.2,0.1617149350,0.9080388450
1.700,0.2,0.1601271696,0.9087407277
1.710,0.2,0.1585547805,0.9094346670
1.720,0.2,0.1569976230,0.9101207611
1.730,0.2,0.1554555537,0.9107991065
1.740,0.2,0.1539284307,0.9114697986
1.750,0.2,0.1524161129,0.9121329316
1.760,0.2,0.1509184609,0.9127885980
1.770,0.2,0.1494353363,0.9134368895
1.780,0.2,0.1479666019,0.9140778962
1.790,0.2,0.1465121218,0.9147117072
1.800,0.2,0.1450717613,0.9153384102
1.810,0.2,0.1436453870,0.9159580918
1.820,0.2,0.1422328664,0.9165708375
1.830,0.2,0.1408340685,0.9171767315
1.840,0.2,0.1394488632,0.9177758570
1.850,0.2,0.1380771219,0.9183682959
1.860,0.2,0.1367187167,0.9189541291
1.870,0.2,0.1353735213,0.9195334364
1.880,0.2,0.1340414103,0.9201062966
1.890,0.2,0.1327222594,0.9206727873
1.900,0.2,0.1314159455,0.9212329852
1.910,0.2,0.1301223465,0.9217869659
1.920,0.2,0.1288413417,0.9223348039
1.930,0.2,0.1275728111,0.9228765729
1.940,0.2,0.1263166360,0.9234123455
1.950,0.2,0.1250726988,0.9239421933
1.960,0.2,0.1238408829,0.9244661871
1.970,0.2,0.1226210726,0.9249843967
1.980,0.2,0.1214131537,0.9254968908
1.990,0.2,0.1202170125,0.9260037375
2.000,0.2,0.1190325367,0.9265050037
2.010,0.2,0.1178596149,0.9270007557
2.020,0.2,0.1166981366,0.9274910587
2.030,0.2,0.1155479927,0.9279759771
2.040,0.2,0.1144090746,0.9284555747
2.050,0.2,0.1132812750,0.9289299140
2.060,0.2,0.1121644875,0.9293990572
2.070,0.2,0.1110586067,0.9298630652
2.080,0.2,0.1099635281,0.9303219985
2.090,0.2,0.1088791483,0.9307759167
2.100,0.2,0.1078053647,0.9312248784
2.110,0.2,0.1067420756,0.9316689417
2.120,0.2,0.1056891805,0.9321081640
2.130,0.2,0.1046465795,0.9325426017
2.140,0.2,0.1036141739,0.9329723107
2.150,0.2,0.1025918658,0.9333973459
2.160,0.2,0.1015795581,0.9338177620
2.170,0.2,0.1005771548,0.9342336124
2.180,0.2,0.0995845606,0.9346449503
2.190,0.2,0.0986016812,0.9350518278
2.200,0.2,0.0976284232,0.9354542968
2.210,0.2,0.0966646938,0.9358524082
2.220,0.2,0.0957104015,0.9362462123
2.230,0.2,0.0947654553,0.9366357588
2.240,0.2,0.0938297652,0.9370210969
2.250,0.2,0.0929032419,0.9374022750
2.260,0.2,0.0919857972,0.9377793409
2.270,0.2,0.0910773434,0.9381523418
2.280,0.2,0.0901777938,0.9385213245
2.290,0.2,0.0892870625,0.9388863349
2.300,0.2,0.0884050643,0.9392474186
2.310,0.2,0.0875317151,0.9396046205
2.320,0.2,0.0866669311,0.9399579849
2.330,0.2,0.0858106297,0.9403075555
2.340,0.2,0.0849627288,0.9406533758
2.350,0.2,0.0841231473,0.9409954882
2.360,0.2,0.0832918047,0.9413339352
2.370,0.2,0.0824686212,0.9416687582
2.380,0.2,0.0816535181,0.9419999984
2.390,0.2,0.0808464169,0.9423276964
2.400,0.2,0.0800472403,0.9426518924
2.410,0.2,0.0792559116,0.9429726260
2.420,0.2,0.0784723546,0.9432899364
2.430,0.2,0.0776964940,0.9436038621
2.440,0.2,0.0769282554,0.9439144413
2.450,0.2,0.0761675647,0.9442217119
2.460,0.2,0.0754143489,0.9445257109
2.470,0.2,0.0746685353,0.9448264753
2.480,0.2,0.0739300521,0.9451240413
2.490,0.2,0.0731988282,0.9454184448
