# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
3.980,0.2,0.0154074857,0.9648572200
3.990,0.2,0.0152541787,0.9649452944
4.000,0.2,0.0151023970,0.9650324925
4.010,0.2,0.0149521257,0.9651188229
4.020,0.2,0.0148033495,0.9652042943
4.030,0.2,0.0146560538,0.9652889153
4.040,0.2,0.0145102236,0.9653726943
4.050,0.2,0.0143658444,0.9654556396
4.060,0.2,0.0142229019,0.9655377596
4.070,0.2,0.0140813817,0.9656190626
4.080,0.2,0.0139412696,0.9656995565
4.090,0.2,0.0138025516,0.9657792495
4.100,0.2,0.0136652139,0.9658581496
4.110,0.2,0.0135292428,0.9659362646
4.120,0.2,0.0133946246,0.9660136023
4.130,0.2,0.0132613458,0.9660901705
4.140,0.2,0.0131293932,0.9661659769
4.150,0.2,0.0129987536,0.9662410289
4.160,0.2,0.0128694138,0.9663153342
4.170,0.2,0.0127413610,0.9663889001
4.180,0.2,0.0126145824,0.9664617341
4.190,0.2,0.0124890652,0.9665338433
4.200,0.2,0.0123647969,0.9666052350
4.210,0.2,0.0122417651,0.9666759164
4.220,0.2,0.0121199575,0.9667458945
4.230,0.2,0.0119993619,0.9668151762
4.240,0.2,0.0118799663,0.9668837687
4.250,0.2,0.0117617586,0.9669516786
4.260,0.2,0.0116447272,0.9670189128
4.270,0.2,0.0115288602,0.9670854780
4.280,0.2,0.0114141461,0.9671513808
4.290,0.2,0.0113005735,0.9672166280
4.300,0.2,0.0111881309,0.9672812259
4.310,0.2,0.0110768071,0.9673451810
4.320,0.2,0.0109665911,0.9674084998
4.330,0.2,0.0108574717,0.9674711886
4.340,0.2,0.0107494380,0.9675332535
4.350,0.2,0.0106424793,0.9675947010
4.360,0.2,0.0105365849,0.9676555370
4.370,0.2,0.0104317441,0.9677157677
4.380,0.2,0.0103279465,0.9677753991
4.390,0.2,0.0102251817,0.9678344371
4.400,0.2,0.0101234395,0.9678928877
4.410,0.2,0.0100227096,0.9679507567
4.420,0.2,0.0099229819,0.9680080499
4.430,0.2,0.0098242466,0.9680647730
4.440,0.2,0.0097264937,0.9681209318
4.450,0.2,0.0096297135,0.9681765317
4.460,0.2,0.0095338963,0.9682315784
4.470,0.2,0.0094390324,0.9682860774
4.480,0.2,0.0093451125,0.9683400341
4.490,0.2,0.0092521270,0.9683934539
4.500,0.2,0.0091600668,0.9684463422
4.510,0.2,0.0090689227,0.9684987042
4.520,0.2,0.0089786854,0.9685505453
4.530,0.2,0.0088893460,0.9686018705
4.540,0.2,0.0088008955,0.9686526850
4.550,0.2,0.0087133251,0.9687029939
4.560,0.2,0.0086266261,0.9687528022
4.570,0.2,0.0085407897,0.9688021149
4.580,0.2,0.0084558074,0.9688509370
4.590,0.2,0.0083716707,0.9688992732
4.600,0.2,0.0082883712,0.9689471285
4.610,0.2,0.0082059006,0.9689945077
4.620,0.2,0.0081242505,0.9690414154
4.630,0.2,0.0080434128,0.9690878563
4.640,0.2,0.0079633795,0.9691338352
4.650,0.2,0.0078841426,0.9691793566
4.660,0.2,0.0078056941,0.9692244250
4.670,0.2,0.0077280261,0.9692690450
4.680,0.2,0.0076511310,0.9693132210
4.690,0.2,0.0075750009,0.9693569575
4.700,0.2,0.0074996284,0.9694002588
4.710,0.2,0.0074250059,0.9694431292
4.720,0.2,0.0073511258,0.9694855730
4.730,0.2,0.0072779809,0.9695275945
4.740,0.2,0.0072055638,0.9695691979
4.750,0.2,0.0071338672,0.9696103874
4.760,0.2,0.0070628841,0.9696511670
4.770,0.2,0.0069926072,0.9696915408
4.780,0.2,0.0069230296,0.9697315129
4.790,0.2,0.0068541443,0.9697710873
4.800,0.2,0.0067859444,0.9698102679
4.810,0.2,0.0067184231,0.9698490587
4.820,0.2,0.0066515737,0.9698874635
4.830,0.2,0.0065853894,0.9699254861
4.840,0.2,0.0065198637,0.9699631304
4.850,0.2,0.0064549900,0.9700004002
4.860,0.2,0.0063907618,0.9700372991
4.870,0.2,0.0063271726,0.9700738309
4.880,0.2,0.0062642162,0.9701099991
4.890,0.2,0.0062018862,0.9701458075
4.900,0.2,0.0061401764,0.9701812596
4.910,0.2,0.0060790806,0.9702163589
4.920,0.2,0.0060185928,0.9702511090
4.930,0.2,0.0059587068,0.9702855133
4.940,0.2,0.0058994167,0.9703195753
4.950,0.2,0.0058407165,0.9703532984
4.960,0.2,0.0057826004,0.9703866859
4.970,0.2,0.0057250626,0.9704197412
4.980,0.2,0.0056680972,0.9704524676
4.990,0.2,0.0056116987,0.9704848683
5.000,0.2,0.0055558614,0.9705169467
0.000,0.3,0.7820232710,0.5000000000
0.010,0.3,0.7742420095,0.5046286993
0.020,0.3,0.7665381728,0.5092113422
0.030,0.3,0.7589109905,0.5137483871
0.040,0.3,0.7513597000,0.5182402876
0.050,0.3,0.7438835460,0.5226874930
0.060,0.3,0.7364817811,0.5270904480
0.070,0.3,0.7291536649,0.5314495928
0.080,0.3,0.7218984647,0.5357653634
0.090,0.3,0.7147154550,0.5400381913
0.100,0.3,0.7076039174,0.5442685039
0.110,0.3,0.7005631408,0.5484567242
0.120,0.3,0.6935924211,0.5526032710
0.130,0.3,0.6866910612,0.5567085590
0.140,0.3,0.6798583709,0.5607729987
0.150,0.3,0.6730936671,0.5647969965
0.160,0.3,0.6663962732,0.5687809549
0.170,0.3,0.6597655195,0.5727252722
